,Entity Name,ID Number,NAICS,Inactive status,Address,status,entity_name
0,"CORP ONE REALTY, LLC",000950754,531120, ,"1 CORPORATE PLACE MIDDLETOWN, RI  02842  USA",active,Corp
1,Corpay,000799539,522320, ,"5301 MARYLAND WAY BRENTWOOD, TN  37027  USA",active,Corp
2,Corpay,000137862,522390, ,"1350 BROADWAY, SUITE 810 NEW YORK, NY  10018  USA",active,Corp
3,"Corpenna Development Group, LLC",000148845,531190, ,"23 CLARKES VILLAGE ROAD JAMESTOWN, RI  02835  USA",active,Corp
4,CORPO TRUCKING LLC,001732458,484121,Revoked Entity,"P.O. BOX 41463 PROVIDENCE, RI  02940  USA",active,Corp
5,Corporate Armor Technologies,001751167, ,Revocation Notice,"2105 NORTHWEST BLVD NEWTON, NC  28658  USA",active,Corp
6,"Corporate Art Group, Inc.",000051147,454390,Revocation Notice,"PO BOX 2041 EAST GREENWICH, RI  02818  USA",active,Corp
7,Corporate Behavior Index,001723774,813319,Revocation Notice,"615 CENTRAL STREET MAPLEVILLE, RI  02839  USA",active,Corp
8,"Corporate Business Solutions, Inc.",000579499,541611, ,"1910 THOMES AVE CHEYENNE, WY  82001  USA",active,Corp
9,"CORPORATE CARE, P.C.",001705304,621111, ,"200 HIGH SERVICE AVENUE NORTH PROVIDENCE, RI  02904  USA",active,Corp
10,"Corporate Chaplains of America, Inc.",001680417,813219, ,"1300 CORPORATE CHAPLAIN DRIVE WAKE FOREST, NC  27587  USA",active,Corp
11,"Corporate Chefs, LLC",001701786,722310, ,"39 OLYMPIA AVENUE WOBURN, MA  01801  USA",active,Corp
12,"Corporate Cleaning Group Franchise Systems, LLC",001745921, ,Revoked Entity,"39201 SCHOOLCRAFT ROAD, SUITE B-12 LIVONIA, MI  48150  USA",active,Corp
13,"CORPORATE CLEANING SYSTEMS, INC.",000092809,561720,Revoked Entity,"98 CLUBHOUSE ROAD WEST GREENWICH, RI  02817  US",active,Corp
14,"Corporate Colleague Connections, LLC",000960556,541612, ,"53 ARCADIA RD HOPE VALLEY, RI  02832  USA",active,Corp
15,"Corporate Construction, Inc.",001686259,236220, ,"101 COMMERCE DRIVE, UNIT A P.O. BOX 629BROOKFIELD, CT  06804-0629  USA",active,Corp
16,Corporate Contractors Inc.,001732224,236220, ,"3800 MILWAUKEE RD SUITE 200BELOIT, WI  53511  USA",active,Corp
17,"Corporate Cost Control, Inc.",001724682,519190, ,"475 ANTON BOULEVARD COSTA MESA, CA  92626  USA",active,Corp
18,"Corporate Cost Control, Inc.",001724779, , ," ,     ",active,Corp
19,Corporate Creations Network Inc.,000122561,541110, ,"801 US HIGHWAY 1 NORTH PALM BEACH, FL  33408  USA",active,Corp
20,Corporate Deli Express,000044597,722320, ,"425 PAVILION AVENUE WARWICK, RI  02888  USA",active,Corp
21,"Corporate Employment Resources, Inc.",000690404,541618, ,"3475 LENOX RD. NE SUITE 450ATLANTA, GA  30326  USA",active,Corp
22,"Corporate Fitness Works, Inc.",001725395,713940, ,"1200 16TH ST N SAINT PETERSBURG, FL  33705  USA",active,Corp
23,"Corporate Fleet Services, inc.",000498117,532112, ,"16322 WOODWARD AVE STE 1 HIGHLAND PARK, MI  48203-2884  USA",active,Corp
24,Corporate Growth,000113518,561320,Revocation Notice,"550 WORCESTER ROAD FRAMINGHAM, MA  01702  USA",active,Corp
25,Corporate Growth,000113518,561320,Revocation Notice,"550 WORCESTER ROAD FRAMINGHAM, MA  01702  USA",active,Corp
26,"Corporate Growth Resources, Inc.",000113518,561320,Revocation Notice,"550 WORCESTER ROAD FRAMINGHAM, MA  01702  USA",active,Corp
27,"Corporate Insurance Services, Inc.",000060908,524210, ,"270 CENTRAL AVE JOHNSTON, RI  02919  USA",active,Corp
28,"CORPORATE LIMOUSINE SERVICES, L.L.C.",000086828,999999, ,"45 MOUNTAINDALE ROAD SMITHFIELD, RI  02917  USA",active,Corp
29,"CORPORATE MECHANICAL OF NEW ENGLAND, LLC",001340878,238220, ,"12 WALNUT HILL PARK DRIVE WOBURN, MA  01801  USA",active,Corp
30,Corporate Net Income Compliance (CNIC),000054634,541990, ,"100 CAMPUS DRIVE FLORHAM PARK, NJ  07932  USA",active,Corp
31,Corporate OD Alliance LLC,001695424,813910, ,"24 SCARALIA ROAD CRANSTON, RI  02921  USA",active,Corp
32,CORPORATE OPTOMETRY LLC,001666293,541613, ,"24 SCARALIA ROAD CRANSTON, RI  02921  USA",active,Corp
33,"Corporate Property Associates 8, L.P., a Delaware limited partnership",000058568, ,Revocation Notice," ,     USA",active,Corp
34,"Corporate Property Associates 9, L.P., a Delaware limited partnership",000058569, ,Revocation Notice," ,     USA",active,Corp
35,"Corporate Research Solutions, Inc.",000130159,541199, ,"5301 SOUTHWEST PARKWAY SUITE 400AUSTIN, TX  78735  USA",active,Corp
36,"CORPORATE SCENOGRAPHICS, LLC.",000104591,541490, ,"989A MOORESFIELD ROAD SOUTH KINGSTOWN, RI  02879  USA",active,Corp
37,"CORPORATE SERVICE CENTER, INC.",001716898,561433, ,"1 TURKS HEAD PLACE FLOOR 11PROVIDENCE, RI  02903  USA",active,Corp
38,Corporate Services LLC,001735355,812990, ,"9 ELIZABETH DRIVE LINCOLN, RI  02865  USA",active,Corp
39,"CORPORATE SIGNATURES, INC.",000073863,424990, ,"700 PERRY HILL ROAD COVENTRY, RI  02816  USA",active,Corp
40,"CORPORATE STAFF ADMINISTRATION, INC.",000123408,561311, ,"3100 SMOKETREE COURT, SUITE 900 RALEIGH, NC  27604  USA",active,Corp
41,Corporate Strategies International LLC,001743450,541618, ,"61 INDIAN HILL ROAD LITTLE COMPTON, RI  02837  USA",active,Corp
42,"CORPORATE SYNERGIES GROUP, LLC",000788906,524210, ,"780 W. GRANADA BOULEVARD ORMOND BEACH, FL  32174  USA",active,Corp
43,"CORPORATE TECHNOLOGIES, INC.",001767222, , ,"78 BLANCHARD RD STE 206 BURLINGTON, MA  01803  USA",active,Corp
44,"Corporate Travel Management North America, Inc.",001737505,561599, ,"2120 SOUTH 72ND STREET SUITE 700OMAHA, NE  68124  USA",active,Corp
45,Corporate Traveler,000084707,561510, ,"5 PARAGON DRIVE SUITE 200 MONTVALE, NJ  07645  USA",active,Corp
46,Corporation 67,000063422,624120, ,"51 TARTAGLIA STREET JOHNSTON, RI  02919  USA",active,Corp
47,Corporation for Education Network Initiatives in California,001744709,517810, ,"16700 VALLEY VIEW AVENUE  #400 LA MIRADA, CA  90638  USA",active,Corp
48,Corporation for Public Management,000055540,624190, ,"11 - 13 HAMPDEN STREET 3RD FLOORSPRINGFIELD, MA  01103  USA",active,Corp
49,Corporation for Supportive Housing,000149198,624229, ,"61 BROADWAY, SUITE 2300 NEW YORK, NY  10006  USA",active,Corp
50,CORPORATION OF THE CHURCH OF THE HOLY CROSS,000030858,813110, ,"18 KING PHILIP STREET PROVIDENCE, RI  02909  USA",active,Corp
51,Corporation of the Church of The Holy Ghost,000030860,813110, ,"472 ATWELLS AVENUE PROVIDENCE, RI  02909  USA",active,Corp
52,Corporation of the President of The Church of Jesus Christ of Latter-day Saints,000022723,813110, ,"50 E. NORTH TEMPLE, 2WW SALT LAKE CITY, UT  84150  USA",active,Corp
53,Corporation of the Presiding Bishop of the Church of Jesus Christ of Latter-Day Saints,000022723,813110, ,"50 E. NORTH TEMPLE, 2WW SALT LAKE CITY, UT  84150  USA",active,Corp
54,Corporation of the Presiding Bishop of The Church of Jesus Christ of Latter-day Saints,000022723,813110, ,"50 E. NORTH TEMPLE, 2WW SALT LAKE CITY, UT  84150  USA",active,Corp
55,CORPORATION SERVICE COMPANY,000056859,999999, ,"251 LITTLE FALLS DRIVE WILMINGTON, DE  19808  USA",active,Corp
56,Corpus Krampus LLC,001675384,238320,Revocation Notice,"190 NORTH MAIN ST. WOONSOCKET, RI  02895  USA",active,Corp
57,"CORPUS-CM, Inc.",000875196,236118, ,"51 TABER STREET WEST KINGSTON, RI  02892  USA",active,Corp
58,THE CORPORATE CAFE,001763857,722513, ,"11 DENAULT DRIVE BELLINGHAM, MA  02019  USA",active,Corp
