,Entity Name,ID Number,NAICS,Inactive status,Address,status,entity_name
0,In-Command,001660995,611519, ,"1 PHILLIPS STREET NORTH KINGSTOWN, RI  02852  USA",active,INC
1,"IN-Concepts, Inc.",000044913,239910, ,"245 WATERMAN STREET, SUITE 5405 PROVIDENCE, RI  02906  USA",active,INC
2,Inc Authority RA,001716898,561433, ,"1 TURKS HEAD PLACE FLOOR 11PROVIDENCE, RI  02903  USA",active,INC
3,INCARDY L.L.C.,001759068,454110, ,"200 RIVER AVE PROVIDENCE, RI  02908  USA",active,INC
4,"INCARNATE, INC",001765554,711510, ,"26740 U.S. HIGHWAY 54 PITTSFIELD, IL  62363  USA",active,INC
5,Incendio LLC,001679889,115210, ,"102 CUCUMBER HILL RD. FOSTER, RI  02825  USA",active,INC
6,INCENTER INSURANCE SOLUTIONS LLC,001770400, , ,"850 NEW BURTON ROAD SUITE 201DOVER, DE  19904  USA",active,INC
7,Incenter Solutions LLC,001669390,518210, ,"550 PINETOWN RD., SUITE 206A FORT WASHINGTON, PA  19034  USA",active,INC
8,INCENTIVE HEALTH SERVICES LLC,001688184,541618, ,"95 NORTH RIVER DRIVE NARRAGANSETT, RI  02882  USA",active,INC
9,Incentivize Green Inc.,001758898,519290, ,"58 BAY ROAD BARRINGTON, RI  02806  USA",active,INC
10,Inception Global LLC,001774032, , ,"49 HOLLOW TREE DR CRANSTON, RI  02920  US",active,INC
11,InCharge Debt Solutions,000142351,624190, ,"5750 MAJOR BLVD SUITE 300ORLANDO, FL  32819  USA",active,INC
12,"INCHARGE ENERGY, INC.",001722580,541690, ,"305 GREGSON DRIVE CARY, NC  27511  USA",active,INC
13,inchstones,000160122,541490, ,"10 WICKS STREET NORTH SMITHFIELD, RI  02896  USA",active,INC
14,"IncidentClear, LLC",001761568, ,Revocation Notice,"11 HALL STREET MEDFORD, MA  02155  USA",active,INC
15,IncisionTech,000066061,339112, ,"2080 PLAINFIELD PIKE CRANSTON, RI  02921  USA",active,INC
16,"INCITE Advocacy Network, Inc.",001720059,813319, ,"125 IROQUOIS RD NARRAGANSETT, RI  02882  USA",active,INC
17,inciteful tech service lp,000525840, ,Revocation Notice,"53 PETER STREET PROVIDENCE, RI  02904  USA",active,INC
18,"InClime, Inc.",001729590,541620, ,"326 FIRST STREET SUITE 27ANNAPOLIS, MD  21403  USA",active,INC
19,"INCLINED PRODUCTIONS, INC.",001760611,515111, ,"500 SOUTH BUENA VISTA STREET BURBANK, CA  91521  USA",active,INC
20,Inclusive Wellness Psychology LLC,001724283,621330, ,"154 WATERMAN STREET SUITE 7PROVIDENCE, RI  02906  USA",active,INC
21,"InComm Agent Solutions, Inc.",000306834,517911, ,"250 WILLIAMS STREET NW SUITE 5-2002ATLANTA, GA  30303  USA",active,INC
22,"InComm Financial Services, Inc.",000143095,525990, ,"2525 WILLIAMS ROAD COLUMBUS, GA  31909  USA",active,INC
23,Incomnet,000157616,517311, ,"3340 W MARKET ST AKRON, OH  44333  USA",active,INC
24,"InContact, Inc.",000131604,517311, ,"75 W TOWNE RIDGE PARKWAY TOWER 1 SANDY, UT  84070  USA",active,INC
25,"inControl, Inc.",000111162,238210, ,"22 DEWEY AVE. SUITE 4WARWICK, RI  02886  USA",active,INC
26,Incora,001657126,336413, ,"2601 MEACHAM BLVD., STE. 400	 FORT WORTH, TX  76137  USA",active,INC
27,"Incorp Services, Inc.",000131259,561439, ,"9107 WEST RUSSELL ROAD SUITE 100 LAS VEGAS, NV  89148  USA",active,INC
28,"Incorporating Services, Ltd.",000147680,999999, ,"3500 SOUTH DUPONT HIGHWAY DOVER, DE  19901  USA",active,INC
29,Incredabowl,000798972,722320, ,"1075 S. BROADWAY EAST PROVIDENCE, RI  02914  US",active,INC
30,"Incredible Technologies, Inc.",001705496,339999, ,"200 CORPORATE WOODS PARKWAY VERNON HILLS, IL  60061  USA",active,INC
31,Incutech Venture Fund,000049690, ,Revoked Entity,"C/O SECRETARY OF STATE 148 WEST RIVER STPROVIDENCE, RI  02904  USA",active,INC
32,The Incredabowl Food Company,000798972,722320, ,"1075 S. BROADWAY EAST PROVIDENCE, RI  02914  US",active,INC
