,Entity Name,ID Number,NAICS,Inactive status,Address,status,entity_name
0,"COR PUBLISHING, LLC",000134649, ,Revoked Entity,"2 HOFFMAN LANE BARRINGTON, RI  02806-  USA",inactive,Corp
1,"CORP - 53, INC.",000073537, ,Revoked Entity," ,     USA",inactive,Corp
2,"CORP BROTHERS HOLDINGS, LLC",000714386,424490,Cancelled,"50 MILL PLAIN ROAD DANBURY, CT  06811  USA",inactive,Corp
3,"CORP BROTHERS, INCORPORATED **CONVERTED TO A NON RI ENTITY ",000004861, ,Conversion,"88 NIANTIC AVENUE PROVIDENCE, RI  02907  USA",inactive,Corp
4,"Corp Brothers, LLC",000714386,424490,Cancelled,"50 MILL PLAIN ROAD DANBURY, CT  06811  USA",inactive,Corp
5,Corp2000,001668777,000051,Withdrawn,"5301 SOUTHWEST PKWY SUITE 400AUSTIN, TX  78735  USA",inactive,Corp
6,"Corp2000, Inc.",001668777,000051,Withdrawn,"5301 SOUTHWEST PKWY SUITE 400AUSTIN, TX  78735  USA",inactive,Corp
7,"CorpDirect Agents, Inc.",000154227,519190,Withdrawn,"1200 SOUTH PINE ISLAND ROAD PLANTATION, FL  33324  USA",inactive,Corp
8,"Corphealth, Inc.",000270268,541618,Withdrawn,"500 WEST MAIN ST LOUISVILLE, KY  40202  USA",inactive,Corp
9,CorpoFoundation,001665540, ,Revoked Entity,"203 ADELINE AVENUE APARTMENT 1LPROVIDENCE, RI  02907  USA",inactive,Corp
10,"CORPORATE & ESTATE ANALYST, INCORPORATED",000004864, ,Revoked Entity," ,     USA",inactive,Corp
11,CORPORATE & SHIPPING CONSULTANTS LLC.,000089755, ,Revoked Entity,"50 SHIRLEY STREET P.O. BOX CB-13937NASSAU,     BHS",inactive,Corp
12,"CORPORATE ACQUISITIONS, LTD.",000009117, ,Revoked Entity,"137 SWEETBRIAR DRIVE CRANSTON, RI  02920-  USA",inactive,Corp
13,"Corporate Air Charter, inc.",000004862, ,Revoked Entity,"38 ANDREWS AVENUE, APT.A WEST WARWICK, RI  02893-5915  USA",inactive,Corp
14,Corporate Air Inc.,000119689, ,Revoked Entity,"660 AIRPORT ROAD WARWICK, RI  02886  USA",inactive,Corp
15,"CORPORATE AIR NEWPORT, INC.",000056456, ,Revoked Entity,"197 TAUNTON AVENUE, SUITE 203 EAST PROVIDENCE, RI  02914  USA",inactive,Corp
16,"Corporate America Realty, Inc.",000025447, ,Withdrawn,"16260 NORTH 71ST STREET SCOTTSDALE, AZ  85254-  USA",inactive,Corp
17,"Corporate America, Inc.",000036311, ,Revoked Entity," ,     USA",inactive,Corp
18,"Corporate Associates, Limited",000004863, ,Revoked Entity," ,     USA",inactive,Corp
19,"Corporate Associates, Ltd.",000097057, ,Revoked Entity,"4 KNOLLWOOD DRIVE LINCOLN, RI  02865  USA",inactive,Corp
20,"Corporate Auto Cleaners, Inc.",000120879, ,Revoked Entity," ,     USA",inactive,Corp
21,Corporate Benefit Systems Services Corporation,000046610, ,Withdrawn,"1300 S CLINTON ST. FORT WAYNE, IN  46801  USA",inactive,Corp
22,"CORPORATE BILLING MANAGEMENT, INC.",000104416, ,Withdrawn,"6053 HUDSON RD. SUITE 110 WOODBURY, MN  55125-  USA",inactive,Corp
23,CORPORATE BUILDERS INC.,000044602, ,Revoked Entity," ,     USA",inactive,Corp
24,"CORPORATE BUILDING EXTERIORS, INC.",000134501, ,Revoked Entity,"1548 MINERAL SPRING AVENUE NORTH PROVIDENCE, RI  02904-  USA",inactive,Corp
25,"CORPORATE BUILDING SERVICES, INC.",000134323, ,Revoked Entity,"1528 MINERAL SPRING AVENUE NORTH PROVIDENCE, RI  02904-  USA",inactive,Corp
26,"CORPORATE CALLING SERVICES, INC.",000097391, ,Revoked Entity,"3960 HOWARD HUGHES PKWY# 5001F LAS VEGAS, NV  89109-  USA",inactive,Corp
27,"Corporate Care by Business Interiors, L.L.C.",000123949, ,Revoked Entity,"3800 DISTRIBUTION BOULEVARD HOUSTON, TX  77018-  USA",inactive,Corp
28,"CORPORATE CHARTERS, INC.",000164199,713930,Dissolved,"117 SUCCOTASH ROAD WAKEFIELD, RI  02879  USA",inactive,Corp
29,"Corporate Chefs, Inc.",000099497,722310,Conversion,"22 PARKRIDGE ROAD HAVERHILL, MA  01835  USA",inactive,Corp
30,"CORPORATE COMMUNICATIONS, INC.",000065686, ,Revoked Entity," ,     USA",inactive,Corp
31,"Corporate Communications, Inc.",000099704, ,Revoked Entity," ,     USA",inactive,Corp
32,"CORPORATE COMPUTER SERVICES, INC.",001678501, ,Revoked Entity,"24155 DRAKE ROAD SUITE 110FARMINGTON HILLS, MI  48335  USA",inactive,Corp
33,"Corporate Computers, Inc.",000051799, ,Revoked Authority," ,     USA",inactive,Corp
34,"Corporate Consulting, LLC",000793922, ,Dissolved,"1859 ATWOOD AVENUE JOHNSTON, RI  02919  US",inactive,Corp
35,CORPORATE CONTRACTORS INC,000746421, ,Revoked Entity,"655 THIRD STREET, SUITE 300 BELOIT, WI  53511  USA",inactive,Corp
36,"Corporate Counterfeiting Countermeasures, Inc.",000096874, ,Revoked Entity," ,     USA",inactive,Corp
37,Corporate Creations Rhode Island Inc.,000709865, ,Conversion,"11380 PROSPERITY FARMS RD STE 221E PALM BEACH GARDENS, FL  33410  USA",inactive,Corp
38,Corporate Creations Rhode Island LLC,001665963,561110,Dissolved,"11380 PROSPERITY FARMS ROAD #221E PALM BEACH GARDENS, FL  33410  USA",inactive,Corp
39,Corporate Credit Specialists,000039590, ,Withdrawn,"4101 WINFIELD ROAD WARRENVILLE, IL  60555-  USA",inactive,Corp
40,"CORPORATE CUTS, INC.",000055962, ,Revoked Entity," ,     USA",inactive,Corp
41,"Corporate Data Services, Incorporated",000082313, ,Revoked Entity,"14 JASONS GRANT CUMBERLAND, RI  02864  USA",inactive,Corp
42,"CORPORATE DATA SOLUTIONS, LLC",000838759,541511,Dissolved,"14 JASONS GRANT DRIVE CUMBERLAND, RI  02864  USA",inactive,Corp
43,CORPORATE DEVELOPMENT COMPANY,000068260, ,Revoked Entity,"173 LITTLEFIELD STREET PAWTUCKET, RI  02861  USA",inactive,Corp
44,"CORPORATE ENVIRONMENTAL ADVISORS, INC.",000060734,541330,Revoked Entity,"127 HARTWELL STREET SUITE 2WEST BOYLSTON, MA  01583  USA",inactive,Corp
45,"Corporate Executive Outplacement, Inc.",000040882, ,Revoked Entity,"430 BLACK POINT LANE PORTSMOUTH, RI  02871  USA",inactive,Corp
