,Entity Name,ID Number,NAICS,Inactive status,Address,status,entity_name
0,In Clover Inc.,001689816,512110,Revoked Entity,"7538 DENROCK AVE. LOS ANGELES, CA  90045  USA",inactive,INC
1,"In Company with Angels, Inc.",000489070, ,Withdrawn,"1 GROVE STREET BARRINGTON, RI  02806  USA",inactive,INC
2,"IN CONTROL, INC.",000075856, ,Revoked Entity," ,     USA",inactive,INC
3,In Cytu Incorporated,000164155, ,Revoked Entity,"6 BLACKSTONE VALLEY PLACE LINCOLN, RI  02865  USA",inactive,INC
4,In Cytu Incorporated,000165493, ,Expired," ,     ",inactive,INC
5,"IN-CUBE-8, LLC.",000788857,999999,Revoked Entity,"54 SOUTH MEADOW LANE BARRINGTON, RI  02806  USA",inactive,INC
6,"Inca's, LLC",000156133, ,Revoked Entity,"424 THAMES STREET NEWPORT, RI  02840-  USA",inactive,INC
7,IncAmerica Corp.,000081828, ,Withdrawn,"15 COLUMBUS CIRCLE NEW YORK, NY  10023  USA",inactive,INC
8,Incandesoft LLC,000142561, ,Revoked Entity,"167 SKUNK HILL ROAD EXETER, RI  02822-  USA",inactive,INC
9,Incandetech LLC,000162505, ,Revoked Entity,"13 KING ST. EAST GREENWICH, RI  02817  US",inactive,INC
10,"INCANTO SOPRANO ITALIA, LTD.",000068271, ,Revoked Entity,"140 HILLCREST AVENUE PROVIDENCE, RI  02909  USA",inactive,INC
11,Incas,000164217, ,Revoked Entity,"34 EAST HOWLAND ROAD, P.O. BOX 31 EAST FREETOWN, MA  02717-  USA",inactive,INC
12,Incenter Appraisal Management LLC,001728201,531320,Cancelled,"550 PINETOWN RD., STE 208 FORT WASHINGTON, PA  19034  USA",inactive,INC
13,"Incentric Digital Marketing, LLC",001681558,541890,Revoked Entity,"125 HOLDEN STREET PROVIDENCE, RI  02908  USA",inactive,INC
14,Inception Freight Exchange LLC,001658821, ,Revoked Entity,"69 SACKETT STREET PROVIDENCE, RI  02907  USA",inactive,INC
15,Inception Labs LLC,000148435, ,Revoked Entity,"231 WEST FOREST AVENUE PAWTUCKET, RI  02860-  USA",inactive,INC
16,Incera Associates Inc.,000064431, ,Revoked Entity,"628 PARK AVE CRANSTON, RI  02910  USA",inactive,INC
17,Incest AWARE,001721533, ,Name Reservation," ,     ",inactive,INC
18,"InCharge Education Foundation, Inc.",000501542, ,Withdrawn,"222 JEFFERSON BLVD SUITE 200WARWICK, RI  02888  USA",inactive,INC
19,"InCharge, LLC",000487845, ,Revoked Entity,"42 COLUMBUS AVENUE SOMERVILLE, MA  02143  USA",inactive,INC
20,"Inches to Health, Inc.",000140250, ,Revoked Entity,"1630 MINERAL SPRING AVENUE NORTH PROVIDENCE, RI  02904-  USA",inactive,INC
21,Inches-A-Weigh,000098572, ,Revoked Authority," ,     USA",inactive,INC
22,Inches-A-Weigh,000098572, ,Revoked Authority," ,     USA",inactive,INC
23,INCHIQUIN FAMILY LIMITED PARTNERSHIP **CONVERTED TO AN ENTITY NOT QUALIFIED IN RI**,000087340, ,Conversion," ,     USA",inactive,INC
24,INCIDENTALS,000012166,229999,Dissolved,"210 TAUNTON AVENUE EAST PROVIDENCE, RI  02914  USA",inactive,INC
25,Incite Energy LLC,001263147, ,Revoked Entity,"1209 ORANGE STREET WILMINGTON, NEW CASTLE, DE  19801  USA",inactive,INC
26,"Incite Events, LLC",000791842, ,Revoked Entity,"36 OCEAN RIDGE ROAD CHARLESTOWN, RI  02813  USA",inactive,INC
27,INCLINE BUSINESS SOLUTIONS LLC,000131880, ,Revoked Entity,"3 SYCAMORE DRIVE COVENTRY, RI  02816-  USA",inactive,INC
28,Incline Corp.,000123788, ,Merged into an entity of record," ,     USA",inactive,INC
