,Entity Name,ID Number,NAICS,Inactive status,Address,status,entity_name
0,"L & P Associates, LLC",000086645, ,Revoked Entity,"113 GOVERNOR BRADFORD DRIVE BARRINGTON, RI  02806  USA",inactive,LP
1,"L & P BARBER CARETAKING, L.L.C.",000761709,999999,Revoked Entity,"TWO ELM STREET PO BOX 414WESTERLY, RI  02891  USA",inactive,LP
2,"L & P Casting, Inc.",000016789, ,Revoked Entity," ,     USA",inactive,LP
3,"L & P Distributors, Inc.",000035742, ,Revoked Entity," ,     USA",inactive,LP
4,L & P Group LLC,000535776, ,Revoked Entity,"3 THOMAS LANE HOPE VALLEY, RI  02832  USA",inactive,LP
5,"L & P PIZZA, INC.",000089273, ,Revoked Entity," ,     USA",inactive,LP
6,L and P Property Management LLC,000507352, ,Revoked Entity,"94 CARRIAGE DRIVE LINCOLN, RI  02865  USA",inactive,LP
7,"L P ANESTHESIA, LLC",000770361, ,Revoked Entity,"1 THOMPSON HILL DRIVE CUMBERLAND, RI  02864  USA",inactive,LP
8,"L P T REALTY, INC.",000151639, ,Revoked Entity,"176 EDDIE DOWLING HIGHWAY NORTH SMITHFIELD, RI  02896  USA",inactive,LP
9,L PAX,001728253, ,Name Reservation," ,     ",inactive,LP
10,L&P Hardscape LLC,001752872, ,Dissolved,"94 CHESTNUT HILL RD CHEPACHET, RI  02814  USA",inactive,LP
11,"L&P Holdings, LLC",000164085, ,Revoked Entity,"43 KING STREET EAST GREENWICH, RI  02818  USA",inactive,LP
12,"L'PEARL SALON, INC.",000136808,812112,Dissolved,"7592 POST ROAD NORTH KINGSTOWN, RI  02852  USA",inactive,LP
13,"L. & P. CONSTRUCTION CO., INC.",000016793, ,Revoked Entity,"178 WALLACE ST PROVIDENCE, RI  02909  USA",inactive,LP
14,"L. P. THOMPSON COMMUNICATIONS, INC.",000010066, ,Revoked Entity," ,     USA",inactive,LP
15,"L. Pacson Company, Inc.",000486057, ,Dissolved,"12 OFFSHORE ROAD NARRAGANSETT, RI  02882  USA",inactive,LP
16,L. Perrigo Company,000216270, ,Withdrawn,"515 EASTERN AVENUE ALLEGAN, MI  49010  USA",inactive,LP
17,L. Pezza Construction Corp.,000017883, ,Revoked Entity," ,     USA",inactive,LP
18,"L. Potter, LLC",000128796, ,Revoked Entity,"780 WHALEY HOLLOW ROAD COVENTRY, RI  02816  USA",inactive,LP
19,"L. PROCACCINI PLUMBING & HEATING CO.,INC.",000031753, ,Revoked Entity," ,     USA",inactive,LP
20,"L.P. Books, Inc.",000158784, ,Revoked Entity,"42 WHITECAP DRIVE NORTH KINGSTOWN, RI  02852  USA",inactive,LP
21,"L.P. Enterprises, Inc.",000031996, ,Revoked Entity,"5776 POST ROAD EAST GREENWICH, RI  02818  USA",inactive,LP
22,L.P.C. CONSTRUCTION INC.,000051612, ,Revoked Entity,"531 WINTER STREET WOONSOCKET, RI  02895  USA",inactive,LP
23,"L.P.G. Enterprises, Inc.",000016810, ,Revoked Entity," ,     USA",inactive,LP
24,"L.P.L. LIQUIDATIONS, INC.",000056527, ,Revoked Entity," ,     USA",inactive,LP
25,L.P.L./ LLC,000267505, ,Cancelled,"55 EASTWOOD CIRCLE GARDNER, MA  01440  USA",inactive,LP
26,"L.P.M. Holding Company, Inc.",000061736, ,Revoked Entity,"24 MAIN STREET MAYNARD, MA  01754  USA",inactive,LP
27,L.P.Q. Inc.,000004805, ,Revoked Entity," ,     USA",inactive,LP
28,"L.P.T. HOME IMPROVEMENTS, INC.",000094205, ,Revoked Entity,"238 GROVE STREET WOONSOCKET, RI  02895  USA",inactive,LP
29,"LP AND SON ELECTRIC COMPANY, LLC",000836963,238210,Revoked Entity,"44 GORDON STREET CRANSTON, RI  02910  USA",inactive,LP
30,"LP BAKERY, INC.",000095154, ,Revoked Entity,"13 LOXLEY DRIVE JOHNSTON, RI  02929-  USA",inactive,LP
31,"LP Data Systems, Inc.",000072547, ,Revoked Entity,"45 LEMIS STREET COVENTRY, RI  02816  USA",inactive,LP
32,LP Holding Corporation,000023773, ,Revoked Authority,"LILLY CORPORATE CENTER INDIANAPOLIS, IN  46285  USA",inactive,LP
33,LP Housing Corporation,000016800, ,Revoked Entity," ,     USA",inactive,LP
34,"LP Innovations, Inc.",000135340, ,Revoked Entity,"555 TURNPIKE STREET CANTON, MA  02021  USA",inactive,LP
35,"LP Liquidation, Inc.",000023964, ,Dissolved," ,     USA",inactive,LP
36,"LP Management, L.L.C.",001697572, ,Revoked Entity,"1209 ORANGE STREET WILMINGTON, DE  19801  USA",inactive,LP
37,LP PAINTING AND CARPENTRY LLC,001716258, ,Revoked Entity,"21 FLETT ROAD BELMONT, MA  02478  USA",inactive,LP
38,LP Pizzeria Inc.,001659372, ,Revoked Entity,"# #, #  #  #",inactive,LP
39,"LP PROPERTIES, LLC",000486844,53,Dissolved,"53 CALDER STREET PAWTUCKET, RI  02861  USA",inactive,LP
40,"LP Recycled, Inc.",000794766, ,Revoked Entity,"60 VALLEY STREET #22 PROVIDENCE, RI  02909  USA",inactive,LP
41,"LP Recycling, Inc.",000158821, ,Dissolved,"311 PAWTUXET AVENUE WARWICK, RI  02888  USA",inactive,LP
42,"LP Residential, LLC",000142884, ,Revoked Entity,"50 RUTH STREET DANIELSON, CT  06239-  USA",inactive,LP
43,"LP VENTURES, INC.",000114209, ,Revoked Entity,"170 WESTMINSTER STREET. SUITE 900 PROVIDENCE, RI  02903-  USA",inactive,LP
44,LPA ASSOCIATES PC,001667416,541330,Revoked Entity,"45 CIRCLEDALE DRIVE CUMBERLAND, RI  02864  USA",inactive,LP
45,LPB Energy Consulting,000163049, ,Cancelled,"12700 PARK CENTRAL DRIVE, SUITE 200 DALLAS, TX  75251  USA",inactive,LP
46,LPB Energy Management,000163049, ,Cancelled,"12700 PARK CENTRAL DRIVE, SUITE 200 DALLAS, TX  75251  USA",inactive,LP
47,"LPC America, Inc.",000027643, ,Revoked Entity,"20  ELTON STREET PROVIDENCE, RI  00000  USA",inactive,LP
48,LPC CONSTRUCTION LLC,000792163, ,Revoked Entity,"12C PRISCILLA LANE JOHNSTON, RI  02919  USA",inactive,LP
49,"LPC General Partner, Inc.",000059088, ,Withdrawn,"1505 FEDERAL ST. DALLAS, TX  75201  USA",inactive,LP
50,LPC multi services LLC,001704899, ,Revoked Entity,"987 CHALKSTONE AVENUE PROVIDENCE, RI  02908  USA",inactive,LP
51,"LPC, Inc.",000150908, ,Revoked Entity,"7100 NEW HORIZONS BOULEVARD NORTH AMITYVILLE, NY  11701-  USA",inactive,LP
52,LPC-US Incorporated,000028096,624110,Merged into an entity of record,"180 BISCUIT CITY ROAD KINGSTON, RI  02881  USA",inactive,LP
53,LPD Company LLC,000092552, ,Revoked Entity,"9 WAKE ROBIN ROAD, APT. 501 LINCOLN, RI  02865  USA",inactive,LP
54,"LPD DEVELOPMENT, LLC",000122521, ,Revoked Entity,"950 SMITH STREET PROVIDENCE, RI  02908  USA",inactive,LP
55,LPDS 16 LLC,000105132, ,Revoked Entity,"1140 RESERVOIR AVENUE, SUITE 3B CRANSTON, RI  02920  USA",inactive,LP
56,LPDS 18 LLC,000107753, ,Revoked Entity,"1140 RESERVOIR AVENUE, SUITE 3B CRANSTON, RI  02920  USA",inactive,LP
57,"LPG ENTERPRISE, LLC",000788596, ,Revoked Entity,"1363 VICTORY HWY OAKLAND, RI  02858  USA",inactive,LP
58,LPI Service Corporation,000111943, ,Revoked Entity,"200 E. RANDOLPH DRIVE CHICAGO, IL  60601  USA",inactive,LP
59,"LPL DESIGN ASSOCIATES, INC.",000113881,541490,Revoked Entity,"9 BETSY WILLIAMS CIRCLE JOHNSTON, RI  02919  USA",inactive,LP
60,LPL Financial Corporation,000025556, ,Withdrawn,"9785 TOWN CENTRE DRIVE SAN DIEGO, CA  92121  USA",inactive,LP
61,"LPL, INC.",000078186, ,Revoked Entity," ,     USA",inactive,LP
62,"LPM Associates, Inc.",000062861, ,Revoked Entity," ,     USA",inactive,LP
63,"LPM Associates, LLC",001729513, ,Revoked Entity,"185 TOWER HILL ROAD NORTH KINGSTOWN, RI  02852  USA",inactive,LP
64,LPM LLC,001675957,531110,Dissolved,"94 WARREN AVENUE EAST PROVIDENCE, RI  02914  USA",inactive,LP
65,"LPP, LLC",000125682, ,Revoked Entity,"99 ALLEN STREET WOONSOCKET, RI  02895-  USA",inactive,LP
66,"LPR Art Frames, Inc.",000098100, ,Revoked Entity,"174 CROSS STREET P.O. BOX 189CENTRAL FALLS, RI  02863  USA",inactive,LP
67,LPR DRYWALL & PLASTER INC,001714086, ,Revoked Entity,"1029 STERLING STREET NEW BEDFORD, MA  02745  USA",inactive,LP
68,"LPRI, LLC",000138099, ,Revoked Entity,"c/o KMPG, CORP MANAGER LIMITED, 8 SALISBURY SQUARE LONDON,     GBR",inactive,LP
69,"LPS Associates, Inc.",000035428, ,Revoked Entity," ,     USA",inactive,LP
70,"LPS Group, Inc.",000130346, ,Revoked Entity," ,     USA",inactive,LP
71,"LPS MARITIME, LLC",000118715,487210,Revoked Entity,"3852 MAIN ROAD TIVERTON, RI  02878  USA",inactive,LP
72,LPS ON LINE ORDER LLC,000516378, ,Revoked Entity,"7 CONDUIT STREET LINCOLN, RI  02865  USA",inactive,LP
73,"LPT, LLC",000485957, ,Revoked Entity,"172 TAUNTON AVENUE, 1ST FLOOR EAST PROVIDENCE, RI  02914  USA",inactive,LP
74,LPV Advanced Technologies LLC,000959386, ,Revoked Entity,"2130 MENDON ROAD, SUITE 3-166 CUMBERLAND, RI  02864  USA",inactive,LP
