Unnamed: 0,Entity Name,ID Number,NAICS,Inactive status,Address,status,entity_name,Exact Names,Entity Types,Identification Numbers,Date of Incorporations,Effective Dates,Location of Principal Offices,Agent Resigned,Address Maintained,Name and Address of Registered Agents,"Officers, Directors, and Corporations",Name and Business Address of General Partners,LLC Managers,Stocks,Purposes,NIACS,Business Entities
0,In-Command,1660995,611519, ,"1 PHILLIPS STREET NORTH KINGSTOWN, RI  02852  USA",active,INC,"Rhumb Line Equity Partners, LLC",Domestic Limited Liability Company,001660995,03-03-2016,03-03-2016,"1 PHILLIPS STREET ,NORTH KINGSTOWN, RI 02852 USA",N,Y," DAVID C. FETHERSTON,1 PHILLIPS STREET ,WICKFORD, RI 02852 USA",None, , ,None," MANAGEMENT FIRM FOR RECREATIONAL MARINE INDUSTRY VENTURES CHARTERS, YACHT MANAGEMENT,YACHT ACQUISITIONS,SAIL AND POWERBOAT TRAINING, COMMERCIAL LICENSING AND STATE LICENSE CERTIFICATION. ",611519 Other Technical and Trade Schools ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
1,"IN-Concepts, Inc.",44913,239910, ,"245 WATERMAN STREET, SUITE 5405 PROVIDENCE, RI  02906  USA",active,INC,"Capital Design, Inc.",Domestic Profit Corporation,000044913,11-13-1987,11-13-1987,"245 WATERMAN STREET, SUITE 5405 ,PROVIDENCE, RI 02906 USA",N,Y," RICHARD S. MITTLEMAN, ESQ.,301 PROMENADE STREET ,PROVIDENCE, RI 02908 USA","PRESIDENTJUDITH S MANN 245 WATERMAN STREET, SUITE 505 PROVIDENCE, RI 02906 USATREASURERROBERT MANN 245 WATERMANN STREET SUITE 505 PROVIDENCE , RI 02906 USASECRETARYRICHARD MITTLEMAN 245 WATERMANN STREET SUITE 505 PROVIDENCE, RI 02908 USA",None,None,Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesSTKÂ $ 0.0000600600," SALE OF JEWELRY PRODUCTS, METAL AND SIMILAR PRODUCTS TITLE: 7-1.1-51",None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
2,Inc Authority RA,1716898,561433, ,"1 TURKS HEAD PLACE FLOOR 11PROVIDENCE, RI  02903  USA",active,INC,"CORPORATE SERVICE CENTER, INC.",Foreign Corporation,001716898,12-30-2020,12-30-2020,"1 TURKS HEAD PLACE FLOOR 11,PROVIDENCE, RI 02903 USA",N,Y," REGISTERED AGENTS INC.,47 WOOD AVENUE, SUITE 2 ,BARRINGTON, RI 02806 USA","PRESIDENTCORT W. CHRISTIE 1 TURKS HEAD PLACE FLOOR 11 PROVIDENCE, RI 02903 USA",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCWPÂ $ 1.000025,0000", COMMERCIAL REGISTERED AGENT SERVICES ,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Amended Certificate of Authority,Application for Certificate of Authority,Application for Certificate of Withdrawal,Application For Registration of Corporate Name,Application for Transfer of Authority,Articles of Merger,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Renewal of Registration of Corporate Name,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
3,INCARDY L.L.C.,1759068,454110, ,"200 RIVER AVE PROVIDENCE, RI  02908  USA",active,INC,INCARDY L.L.C.,Domestic Limited Liability Company,001759068,06-16-2023,06-16-2023,"200 RIVER AVE ,PROVIDENCE, RI 02908 USA",N,Y," BRADLEY LAURENT,200 RIVER AVE ,PROVIDENCE, RI 02908 USA",None, , ,None, E-COMMERCE (NONACTIVE LLC) ,454110 Electronic Shopping and Mail-Order Houses ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
4,"INCARNATE, INC",1765554,711510, ,"26740 U.S. HIGHWAY 54 PITTSFIELD, IL  62363  USA",active,INC,"INCARNATE, INC",Foreign Corporation,001765554,11-17-2023,11-17-2023,"26740 U.S. HIGHWAY 54 ,PITTSFIELD, IL 62363 USA",N,Y," CHAD VERDI JR,214 MAIN STREET ,EAST GREENWICH, RI 02818 USA","PRESIDENTRYAN CARNES 26740 U.S. HIGHWAY 54 PITTSFIELD, IL 62363 USADIRECTORRYAN CARNES 26740 U.S. HIGHWAY 54 PITTSFIELD, IL 62363 USA",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCWPÂ $ 1.00001,0000", FILM PRODUCTION ,"711510 Independent Artists, Writers, and Performers ","ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Amended Certificate of Authority,Application for Certificate of Authority,Application for Certificate of Withdrawal,Application For Registration of Corporate Name,Application for Transfer of Authority,Articles of Merger,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Renewal of Registration of Corporate Name,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
5,Incendio LLC,1679889,115210, ,"102 CUCUMBER HILL RD. FOSTER, RI  02825  USA",active,INC,Incendio LLC,Domestic Limited Liability Company,001679889,12-26-2017,01-01-2018,"102 CUCUMBER HILL RD. ,FOSTER, RI 02825 USA",N,Y," SPRING FORTH DOG SERVICES LLC,189 SWAN STREET ,PROVIDENCE, RI 02905 USA",None, , ,None, PROMOTE AND EXHIBIT VERSATILE PUREBRED DOGS ,115210 Support Activities for Animal Production,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
6,INCENTER INSURANCE SOLUTIONS LLC,1770400, , ,"850 NEW BURTON ROAD SUITE 201DOVER, DE  19904  USA",active,INC,INCENTER INSURANCE SOLUTIONS LLC,Foreign Limited Liability Company,001770400,03-04-2024,03-04-2024,"850 NEW BURTON ROAD SUITE 201,DOVER, DE 19904 USA",N,Y," COGENCY GLOBAL INC,222 JEFFERSON BOULEVARD ,WARWICK, RI 02888 USA",None, , ,None, INSURANCE BROKERAGE TITLE: 7-1.2,None,"ALL FILINGS,Amendment to Application for Registration,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Registration,Application for Transfer of Authority,Articles of Merger,Certificate of Cancellation,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
7,Incenter Solutions LLC,1669390,518210, ,"550 PINETOWN RD., SUITE 206A FORT WASHINGTON, PA  19034  USA",active,INC,Incenter Solutions LLC,Foreign Limited Liability Company,001669390,12-22-2016,12-22-2016,"550 PINETOWN RD., SUITE 206A ,FORT WASHINGTON, PA 19034 USA",N,Y," CORPORATION SERVICE COMPANY,222 JEFFERSON BOULEVARD, SUITE 200 ,WARWICK, RI 02888 USA",None, , ,None, LOAN UNDERWRITING SERVICES ,"518210 Data Processing, Hosting, and Related Services","ALL FILINGS,Amendment to Application for Registration,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Registration,Application for Transfer of Authority,Articles of Merger,Certificate of Cancellation,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
8,INCENTIVE HEALTH SERVICES LLC,1688184,541618, ,"95 NORTH RIVER DRIVE NARRAGANSETT, RI  02882  USA",active,INC,INCENTIVE HEALTH SERVICES LLC,Domestic Limited Liability Company,001688184,09-13-2018,09-13-2018,"95 NORTH RIVER DRIVE ,NARRAGANSETT, RI 02882 USA",N,Y," JAMES P. HOWE,36 SOUTH COUNTY COMMONS WAY SUITE C6,WAKEFIELD, RI 02879 USA",None, , ,None, QUALITY MANAGEMENT CONSULTATION FOR HEALTHCARE SERVICES RELATED BUSINESSES ,541618 Other Management Consulting Services ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
9,Incentivize Green Inc.,1758898,519290, ,"58 BAY ROAD BARRINGTON, RI  02806  USA",active,INC,Incentivize Green Inc.,Foreign Corporation,001758898,06-14-2023,06-14-2023,"58 BAY ROAD ,BARRINGTON, RI 02806 USA",N,Y," MICHAEL KADISH,58 BAY ROAD ,BARRINGTON, RI 02806 USA","CEOMICHAEL KADISH 58 BAY ROAD BARRINGTON, RI 02806 USACOOMATTHIAS DE HAAN 20 W. 16TH ST. #1 NEW YORK, NY 10011 USA",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCWPÂ $ 0.010010,000,0006,090,001", TO INCREASE THE ADOPTION OF SUSTAINABLE TECHNOLOGY BY CONNECTING PEOPLE TO INCENTIVES. ,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Amended Certificate of Authority,Application for Certificate of Authority,Application for Certificate of Withdrawal,Application For Registration of Corporate Name,Application for Transfer of Authority,Articles of Merger,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Renewal of Registration of Corporate Name,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
